Location,Size (sqft),Bedrooms,Bathrooms,Property Type,Year Built,Condition,Nearby Amenities,Crime Rate,Market Demand Index,Price (USD)
Oakland,4936,5,2,Villa,2014,New,8,5.66,10.63,3215008
San Jose,3709,1,3,Condo,2006,New,8,2.23,26.22,3127383
San Jose,2538,2,2,Townhouse,1994,Needs Renovation,4,3.9,28.04,4135460
San Diego,3813,4,2,Apartment,1991,Good,9,9.57,40.07,1258930
San Jose,2177,2,1,Condo,1987,Recently Renovated,5,3.82,68.48,3694499
San Diego,3767,6,3,Apartment,1955,Recently Renovated,5,9.95,2.07,4024426
Sacramento,1327,6,1,Condo,2016,Needs Renovation,7,5.22,1.08,2812160
San Diego,589,3,1,Condo,1975,New,7,7.98,19.63,4746470
San Francisco,1267,6,1,Condo,1969,Needs Renovation,6,1.65,2.44,1624365
San Jose,2305,6,4,Apartment,1962,Recently Renovated,4,6.29,63.04,2814841
Long Beach,766,1,3,Townhouse,1989,Recently Renovated,3,8.81,23.17,4609256
Fresno,2017,2,4,Condo,1987,New,6,1.82,81.74,4605033
Oakland,1955,4,4,Independent House,2016,Recently Renovated,8,3.79,10.12,2030195
San Francisco,4517,2,4,Townhouse,2010,Recently Renovated,4,1.92,85.35,1690076
Anaheim,560,3,5,Apartment,2016,Needs Renovation,9,1.47,83.24,476067
Sacramento,3153,1,2,Condo,2023,New,5,5.28,85.16,536985
Oakland,884,5,1,Independent House,1952,Good,9,5.07,9.6,1373905
San Diego,3410,1,2,Independent House,1994,Good,7,2.17,92.46,4717100
Sacramento,3319,1,4,Condo,2005,Needs Renovation,5,2.11,56.28,3524977
Fresno,2336,1,2,Independent House,1954,Recently Renovated,1,6.09,18.95,3968518
San Jose,4439,1,4,Townhouse,1993,Good,10,4.99,25.9,2954270
San Francisco,1387,5,2,Condo,1958,Good,6,1.28,40.81,2981386
Fresno,2977,1,3,Apartment,1964,Good,6,4.03,98.57,2171254
Sacramento,2742,2,3,Independent House,1982,Good,7,2.26,47.98,650666
San Jose,4692,5,4,Townhouse,2007,Recently Renovated,2,1.87,28.87,1056228
Fresno,3352,4,3,Independent House,1964,Recently Renovated,8,9.18,88.88,909841
San Francisco,2539,3,4,Independent House,2017,Good,9,5.06,65.4,3918502
Fresno,2964,3,5,Condo,2017,Recently Renovated,10,5.97,78.74,346887
Anaheim,4264,6,1,Villa,1969,Recently Renovated,6,5.71,55.52,3039956
Oakland,1562,2,1,Condo,2001,Good,9,7.71,9.4,3430583
Bakersfield,1491,5,5,Villa,2007,New,4,6.64,2.09,2360952
Oakland,2410,3,1,Villa,1970,New,8,6.83,2.35,3100582
Los Angeles,1454,6,3,Townhouse,1970,Needs Renovation,9,8.92,15.84,736670
Sacramento,2284,6,1,Condo,1971,Good,1,7.2,2.94,3245837
Sacramento,4091,5,3,Condo,1967,Good,3,2.51,73.46,3320340
Oakland,3662,1,2,Condo,2015,New,9,4.21,53.4,3079583
Los Angeles,4622,3,5,Apartment,1979,New,9,4.62,64.53,3658507
Fresno,2836,2,4,Villa,1965,Recently Renovated,1,8.01,47.73,1300115
Long Beach,4979,2,2,Townhouse,2013,New,6,9.85,27.82,892556
Fresno,1538,4,5,Villa,1979,Recently Renovated,7,9.92,84.11,2456751
San Francisco,2449,2,5,Villa,1989,New,3,8.85,20.78,2680471
Bakersfield,3620,6,4,Condo,2005,Recently Renovated,7,3.01,46.68,2643719
Long Beach,2013,2,5,Condo,2001,Recently Renovated,9,2.2,35.6,983521
Sacramento,4504,2,1,Townhouse,1950,Recently Renovated,1,8.85,7.94,780810
San Diego,1651,6,2,Condo,2019,Needs Renovation,2,8.01,12.66,3181355
Sacramento,1729,1,1,Condo,1976,Needs Renovation,3,1.48,61.05,689971
Fresno,878,2,1,Condo,2003,Good,5,3.87,43.44,1040879
Fresno,1549,3,4,Condo,1956,Good,7,5.99,99.89,544491
Bakersfield,3923,2,5,Villa,1992,Needs Renovation,1,9.82,88.89,3294813
Fresno,1759,5,1,Independent House,2016,Good,2,6.84,67.21,3329415
Long Beach,865,6,3,Townhouse,2016,New,2,1.02,19.54,945518
Los Angeles,2964,3,3,Condo,2009,Recently Renovated,6,4.16,89.15,4778918
San Jose,4417,2,2,Townhouse,1997,Recently Renovated,8,9.42,46.03,1706291
Long Beach,3809,5,5,Townhouse,2012,Needs Renovation,3,8.15,6.57,4339049
San Diego,1670,6,5,Apartment,1959,New,9,8.89,25.17,694161
Bakersfield,1639,2,4,Townhouse,1987,New,8,2.18,34.74,4014896
San Francisco,1540,2,5,Apartment,2000,Good,2,3.17,50.31,169668
San Francisco,1176,6,5,Independent House,1955,Recently Renovated,5,2.7,33.8,3345131
Long Beach,1677,5,3,Condo,1986,Needs Renovation,3,3.74,91.64,4879722
Sacramento,797,1,3,Townhouse,2022,Good,1,7.53,96.66,3374309
Los Angeles,1675,2,4,Villa,2021,Good,4,9.38,18.37,1585646
Fresno,4734,6,4,Townhouse,1953,Needs Renovation,9,5.45,6.65,501760
Fresno,4341,4,3,Villa,2015,Recently Renovated,3,8.78,28.75,1135769
Fresno,3011,2,4,Independent House,1977,New,10,9.69,27.08,1643023
San Diego,1029,5,1,Apartment,1980,Good,3,5.93,95.63,244823
Los Angeles,1096,3,1,Villa,1976,Needs Renovation,6,2.8,47.7,3001183
Sacramento,2712,4,2,Villa,1994,Needs Renovation,2,2.89,29.63,1914480
San Diego,4083,2,1,Condo,1982,Needs Renovation,9,8.62,20.71,1013249
San Diego,3149,4,4,Villa,2008,Recently Renovated,7,8.97,44.0,709943
Anaheim,1828,4,1,Townhouse,1965,Needs Renovation,2,5.69,46.64,4276138
San Diego,4352,4,3,Independent House,2022,Recently Renovated,9,4.95,11.7,1481662
Fresno,2569,3,1,Condo,1986,Recently Renovated,7,1.51,37.71,672172
San Francisco,1389,3,2,Townhouse,2022,Good,5,8.12,99.57,3970907
San Francisco,4027,2,2,Independent House,1990,Good,4,8.16,34.06,2152337
Anaheim,3521,3,2,Apartment,1954,Recently Renovated,9,9.9,16.87,858831
Long Beach,1178,6,3,Condo,2004,New,6,9.56,37.46,2027844
San Francisco,2192,4,1,Townhouse,1954,Needs Renovation,10,4.47,11.96,2743482
Oakland,953,3,1,Independent House,2010,Needs Renovation,10,3.8,3.42,326351
San Francisco,758,4,3,Condo,2008,Needs Renovation,5,6.44,92.96,1780246
San Francisco,796,2,2,Independent House,1978,Good,3,3.38,80.35,2787311
Long Beach,4039,5,3,Apartment,1961,Needs Renovation,7,1.25,61.71,3250355
Fresno,596,2,4,Townhouse,1997,Needs Renovation,1,1.68,9.99,149406
Bakersfield,1157,6,4,Apartment,1972,Good,3,6.52,85.38,3857309
San Diego,2074,2,3,Condo,1992,Recently Renovated,4,9.62,24.98,4121625
Oakland,553,3,4,Apartment,1996,New,6,6.92,62.75,1743147
Long Beach,3245,1,1,Condo,1987,Recently Renovated,5,9.08,5.53,2606758
San Francisco,1007,1,1,Independent House,1962,Recently Renovated,10,5.08,69.93,4866857
Sacramento,3954,3,2,Townhouse,2011,Needs Renovation,10,8.72,73.29,1297380
Los Angeles,4861,2,2,Apartment,2006,Recently Renovated,1,9.66,26.44,2185193
Long Beach,4366,2,4,Independent House,2011,Good,6,9.43,48.22,2333310
Fresno,2116,3,3,Apartment,2000,Good,10,1.31,31.67,4248340
Anaheim,3617,5,3,Condo,2017,Good,2,9.3,76.24,3454038
San Francisco,3634,5,3,Apartment,1954,Needs Renovation,9,8.06,80.93,844504
Sacramento,2995,3,5,Independent House,2004,Good,6,8.56,59.64,2285121
San Francisco,875,5,3,Townhouse,1991,Needs Renovation,5,3.97,22.29,4624934
San Jose,4806,5,1,Villa,1963,Needs Renovation,8,4.38,48.6,2611833
Sacramento,4277,3,2,Villa,2001,Recently Renovated,3,8.76,21.19,1370022
Fresno,3253,1,4,Apartment,1961,Needs Renovation,3,4.11,31.75,4187710
Long Beach,809,6,4,Condo,1987,Needs Renovation,4,5.47,47.61,4703959
Fresno,718,2,4,Condo,1984,Recently Renovated,2,1.65,40.43,319396
San Jose,4152,2,3,Independent House,1984,New,6,6.75,80.42,210764
San Jose,3358,2,4,Apartment,1950,New,8,3.8,6.97,1085180
San Francisco,2445,4,4,Townhouse,2010,New,10,9.92,38.33,2832647
Long Beach,2083,4,2,Villa,1952,Recently Renovated,10,4.27,34.34,2726078
Sacramento,4647,6,5,Independent House,2011,Good,3,9.07,25.83,316744
Anaheim,847,2,3,Townhouse,1951,Recently Renovated,2,2.29,57.91,4559551
Long Beach,3956,4,1,Villa,1981,Recently Renovated,6,9.22,11.73,228450
San Diego,3315,3,1,Apartment,2005,Good,4,6.82,47.54,4104194
Long Beach,1070,2,2,Condo,1990,Recently Renovated,9,5.14,69.69,4928070
Fresno,3265,1,5,Independent House,1992,New,1,7.84,47.56,4979548
San Jose,1359,6,1,Villa,1971,Good,2,3.72,39.0,4668565
Los Angeles,4712,1,3,Villa,1954,New,2,4.99,3.07,4899908
Bakersfield,4757,5,2,Apartment,2012,Recently Renovated,9,7.23,84.56,398991
San Diego,589,5,4,Apartment,2021,New,5,7.66,53.49,4190035
San Diego,4275,3,3,Condo,1994,New,7,4.46,6.62,2626248
Los Angeles,4065,3,1,Independent House,1952,New,10,7.82,67.47,3586116
San Jose,3176,1,3,Apartment,1954,Recently Renovated,2,8.2,1.65,2026707
Fresno,2040,1,3,Independent House,2005,Recently Renovated,9,3.28,36.23,3617526
Anaheim,3687,3,5,Villa,1987,Needs Renovation,4,6.82,20.17,1617636
Bakersfield,2610,4,3,Independent House,1986,Recently Renovated,2,4.34,36.12,1382703
San Jose,2688,6,3,Apartment,1984,New,4,5.92,84.86,1214701
Fresno,2628,5,4,Independent House,1985,Needs Renovation,9,1.67,10.45,607997
San Francisco,3081,3,4,Apartment,1960,New,3,3.27,62.39,3585636
Sacramento,3895,3,5,Independent House,1968,New,10,3.5,29.59,4146520
Los Angeles,4814,4,3,Villa,2023,Needs Renovation,8,2.01,37.89,3546114
Fresno,2806,6,4,Condo,1965,New,9,8.13,32.51,2179156
Los Angeles,4768,4,4,Independent House,2004,Needs Renovation,4,5.47,18.22,3760846
Oakland,4807,4,1,Villa,2005,New,5,8.96,38.69,610729
Oakland,693,6,1,Independent House,2004,New,3,2.92,48.66,2065094
San Francisco,1484,6,5,Condo,2013,Good,8,8.01,19.81,371335
San Francisco,2761,4,2,Apartment,2002,New,4,7.92,57.04,4626852
Fresno,1370,2,1,Townhouse,1983,Good,5,4.27,15.46,895848
Bakersfield,4152,1,3,Independent House,1965,New,3,7.9,2.51,3593826
San Jose,1033,4,1,Townhouse,1989,Good,10,9.44,13.8,128885
San Diego,1951,4,4,Apartment,2018,Needs Renovation,2,1.75,70.79,896677
Anaheim,2449,6,5,Condo,1996,Recently Renovated,4,6.87,31.96,619908
San Jose,4807,1,1,Townhouse,2009,Recently Renovated,5,4.09,57.92,1055302
San Jose,976,5,4,Villa,1990,New,4,6.48,36.46,887397
Oakland,2413,6,4,Townhouse,1982,New,2,4.97,83.1,4376543
Long Beach,2710,2,2,Independent House,2003,Recently Renovated,3,4.96,81.28,3810903
Bakersfield,2343,2,3,Independent House,2021,Good,3,2.12,76.0,3310536
San Francisco,1953,2,3,Independent House,1989,Needs Renovation,1,3.27,64.6,2287661
Los Angeles,2624,2,5,Independent House,2018,Needs Renovation,1,5.87,67.82,2664115
San Francisco,4273,5,5,Townhouse,1979,Good,2,8.58,44.48,1541905
Fresno,4462,4,5,Townhouse,1950,Recently Renovated,8,2.7,4.41,877900
Los Angeles,1405,6,2,Townhouse,1951,Needs Renovation,10,6.82,62.12,4036765
Sacramento,579,2,1,Independent House,1980,Good,10,5.59,73.03,4662732
Fresno,2930,6,4,Townhouse,1971,Good,3,6.65,11.56,1657314
Fresno,4931,6,4,Villa,1984,Needs Renovation,2,7.25,90.59,2826409
San Diego,4348,4,4,Independent House,1969,Good,6,9.7,5.26,3747662
Sacramento,1138,2,2,Villa,2011,Good,10,7.51,95.2,965754
Bakersfield,1331,6,5,Townhouse,1981,Recently Renovated,1,6.95,12.47,1838896
Los Angeles,1655,4,4,Villa,1986,Good,6,9.62,77.02,3999506
San Jose,2208,4,4,Apartment,1973,New,6,4.75,69.18,4194144
San Diego,4853,3,4,Townhouse,1971,Good,1,9.35,19.56,3590465
Fresno,3703,3,3,Independent House,1957,Recently Renovated,3,3.03,32.48,2934299
San Diego,1521,6,5,Independent House,1954,Needs Renovation,4,8.48,5.01,2036013
Bakersfield,1684,5,3,Condo,1975,Recently Renovated,4,5.36,14.57,4238077
Anaheim,1473,2,3,Condo,1982,Recently Renovated,8,1.66,95.38,2215538
Long Beach,3916,6,2,Condo,1985,Good,2,8.43,58.19,4083943
Los Angeles,2763,6,5,Townhouse,1990,Needs Renovation,2,8.3,84.73,4336864
Sacramento,1028,3,5,Independent House,1994,Needs Renovation,2,2.95,24.48,2756112
Oakland,2548,3,5,Condo,2013,New,3,4.07,60.33,3070595
Oakland,4368,6,2,Apartment,1965,Recently Renovated,4,7.97,43.78,4318636
San Francisco,4153,6,5,Condo,1982,Recently Renovated,7,1.87,97.27,948721
Fresno,915,1,1,Villa,1987,New,9,7.9,12.11,3828369
San Diego,2301,1,3,Apartment,1956,New,1,6.89,13.72,3288459
San Jose,3581,5,2,Townhouse,1960,Needs Renovation,8,2.08,81.66,4123842
Bakersfield,4728,5,4,Townhouse,1993,Needs Renovation,5,4.7,98.84,571751
Oakland,2749,5,1,Villa,1994,Needs Renovation,6,9.28,47.98,2885112
Sacramento,1030,4,2,Villa,1950,New,10,2.83,29.62,1107166
San Diego,2585,1,3,Villa,2001,Needs Renovation,2,4.26,97.08,2088222
Long Beach,741,1,1,Independent House,2010,Needs Renovation,10,7.86,37.19,362837
San Francisco,2623,6,5,Villa,1967,New,3,8.78,86.46,1243702
Anaheim,1357,4,2,Condo,1975,New,3,4.39,51.75,1746707
Fresno,4609,4,1,Townhouse,1992,Recently Renovated,3,4.29,4.53,1419765
Long Beach,2175,4,4,Apartment,2003,Needs Renovation,8,3.58,99.8,3656174
Fresno,3068,1,5,Condo,1955,Good,3,2.99,28.77,3890967
Long Beach,2332,4,2,Townhouse,1987,New,5,1.26,99.7,4685048
Bakersfield,1101,6,2,Apartment,1968,New,1,2.35,77.57,2973847
Anaheim,1598,4,1,Independent House,1961,Needs Renovation,1,2.28,84.48,333385
San Jose,1866,5,1,Condo,1952,Good,6,7.52,21.45,1102875
Long Beach,4722,3,3,Independent House,1956,Good,1,1.56,88.87,4202206
Long Beach,1713,1,3,Villa,1985,Good,9,5.99,53.69,2747100
Oakland,2466,6,5,Condo,1955,Recently Renovated,4,8.98,98.2,1841920
Bakersfield,1398,6,4,Townhouse,1956,Needs Renovation,1,5.79,50.36,4722558
San Francisco,3056,6,1,Independent House,1969,Good,3,7.26,40.02,1095429
Sacramento,4327,2,3,Independent House,2012,Needs Renovation,9,8.34,85.56,3184952
Long Beach,4934,2,5,Townhouse,2016,New,8,2.24,3.89,2693187
Oakland,4276,6,3,Villa,1981,Needs Renovation,10,8.16,65.24,1107706
Fresno,2845,5,1,Condo,1966,New,1,4.84,88.04,4501100
San Francisco,1623,3,1,Townhouse,1990,Recently Renovated,4,6.58,71.81,4236565
San Diego,1219,2,3,Villa,2001,New,10,3.85,85.65,2300617
Oakland,3482,5,4,Independent House,1990,New,6,8.32,97.22,3238068
Los Angeles,1781,6,5,Independent House,1984,New,6,7.63,65.59,1597848
Fresno,2094,5,4,Townhouse,2002,New,10,8.0,43.35,3478918
Sacramento,2714,3,2,Condo,2017,Good,3,6.93,35.8,1495818
San Jose,4475,3,2,Villa,2015,Good,9,7.54,6.65,3953121
Oakland,2695,3,5,Villa,1958,Needs Renovation,8,5.8,7.42,4816921
San Francisco,4784,3,5,Villa,1998,New,7,6.78,31.22,1951055
Sacramento,2053,2,5,Villa,1992,Needs Renovation,5,4.54,80.66,4684454
Bakersfield,3722,4,2,Apartment,1954,Needs Renovation,9,2.11,91.47,3185067
Fresno,2085,5,2,Townhouse,1955,Recently Renovated,1,5.43,24.4,2150637
Fresno,4607,1,4,Villa,1956,Good,6,9.62,30.19,4753110
Oakland,4508,6,3,Condo,1982,New,8,6.88,43.78,4747940
Anaheim,1843,1,4,Villa,2021,Needs Renovation,7,1.68,95.06,3846048
Anaheim,4016,2,5,Townhouse,1967,Recently Renovated,9,1.69,92.12,205904
San Diego,3428,2,1,Independent House,2020,Good,4,4.21,41.71,3482745
Long Beach,3884,4,1,Condo,2009,Good,1,9.8,26.18,842941
San Jose,3180,5,4,Independent House,1995,Needs Renovation,8,7.46,36.51,2325150
Anaheim,4596,5,5,Villa,1956,Good,4,6.19,20.31,3099326
San Diego,3440,1,5,Apartment,2022,Good,4,4.16,8.3,4834881
Anaheim,2936,2,1,Villa,1952,Needs Renovation,1,8.47,52.29,2518297
Bakersfield,3371,2,1,Independent House,2016,Needs Renovation,3,7.46,45.94,2515197
Los Angeles,2783,1,2,Apartment,2006,Good,6,6.12,82.65,4528955
Los Angeles,2319,1,5,Condo,2016,Good,3,8.33,90.35,932277
Anaheim,3983,2,1,Independent House,2012,Recently Renovated,7,2.71,76.3,889988
Sacramento,2871,1,2,Condo,2002,Needs Renovation,4,5.34,15.65,1763988
San Diego,1238,1,2,Townhouse,1996,Needs Renovation,4,9.2,78.31,827406
San Francisco,4816,5,2,Independent House,1950,Needs Renovation,4,9.95,73.6,3667587
Oakland,3069,5,4,Independent House,2013,Good,5,9.65,41.6,1911596
Los Angeles,2073,1,5,Villa,1991,Good,7,1.54,60.32,4454468
San Francisco,3741,3,1,Villa,1967,Recently Renovated,4,5.12,30.24,2449546
San Francisco,1663,2,4,Independent House,1952,New,5,9.86,34.15,3550880
Los Angeles,1444,4,5,Independent House,1954,Recently Renovated,8,9.14,46.84,4815705
San Francisco,1732,1,5,Condo,1985,Recently Renovated,8,3.18,93.81,4699361
Bakersfield,2921,6,4,Townhouse,2020,Recently Renovated,2,5.62,75.98,2256527
Sacramento,603,1,2,Condo,2020,New,6,3.09,83.72,2148089
Fresno,1408,2,2,Apartment,1966,Recently Renovated,2,7.32,23.42,2047991
Anaheim,3128,3,1,Condo,2007,Recently Renovated,5,1.33,31.95,2399592
San Diego,3116,2,4,Condo,1958,Recently Renovated,5,1.9,48.85,2639213
Anaheim,3238,4,1,Townhouse,1972,Good,10,1.37,52.81,2510241
San Francisco,2513,2,3,Apartment,1962,New,6,7.42,13.64,4656411
Fresno,2895,3,5,Condo,1976,Good,4,3.36,24.21,1268570
San Francisco,4265,5,3,Townhouse,2017,Good,1,2.07,83.51,1032372
Los Angeles,3542,4,5,Independent House,1974,Good,6,6.17,22.51,1890496
San Francisco,1306,4,1,Apartment,2012,New,1,8.14,61.36,400414
San Jose,931,3,4,Independent House,1983,Needs Renovation,6,9.87,13.56,4301072
Anaheim,622,1,1,Villa,2014,Good,9,6.33,80.38,155001
Long Beach,2457,2,2,Townhouse,1956,Needs Renovation,10,6.7,83.34,4458552
Sacramento,2304,1,2,Condo,1970,Recently Renovated,3,8.02,67.05,4691121
Sacramento,2683,2,2,Apartment,1982,Good,3,8.55,88.49,3020144
San Jose,638,2,4,Apartment,2013,Needs Renovation,8,1.8,44.99,1668985
Los Angeles,1050,2,5,Townhouse,2013,Good,4,2.96,60.81,219351
Oakland,4332,4,4,Independent House,2013,Needs Renovation,7,4.24,15.93,2733875
Long Beach,1742,2,1,Condo,1952,New,2,9.03,98.33,1871400
Long Beach,4928,1,4,Apartment,1988,Recently Renovated,4,5.08,86.17,2953585
San Diego,3175,4,5,Condo,1970,New,6,1.03,95.8,4815723
Sacramento,2069,2,4,Apartment,2016,New,6,2.61,45.36,4556720
Long Beach,3103,2,2,Independent House,1963,Recently Renovated,8,2.84,89.73,2758337
Bakersfield,3137,4,5,Condo,1952,Recently Renovated,7,2.32,4.25,4164195
Fresno,2693,5,5,Townhouse,2020,Good,9,3.09,64.18,3393357
San Francisco,4647,2,3,Condo,1953,Recently Renovated,3,8.13,6.03,2432304
Los Angeles,2564,5,4,Independent House,1971,Recently Renovated,1,6.71,11.15,586484
Long Beach,2364,1,2,Townhouse,1972,Recently Renovated,3,5.25,14.47,692728
San Jose,4474,4,5,Apartment,2019,Needs Renovation,2,6.45,2.47,4751133
Anaheim,3985,3,3,Condo,2018,Needs Renovation,7,7.19,97.18,4374558
Oakland,638,5,5,Independent House,2022,Good,10,1.47,68.65,3012072
Fresno,4895,4,1,Townhouse,2008,Needs Renovation,6,9.6,71.1,3107765
Sacramento,1703,1,3,Independent House,2001,Good,7,6.39,79.77,984747
San Jose,4646,3,5,Townhouse,1989,New,1,1.63,34.06,2842106
Bakersfield,4262,5,2,Apartment,2021,Needs Renovation,6,6.26,86.42,2369703
Long Beach,765,5,4,Villa,2003,Good,1,5.67,36.07,2710434
San Diego,2633,5,4,Independent House,2015,Needs Renovation,1,8.3,69.74,4809389
Anaheim,3732,4,1,Independent House,1968,Needs Renovation,6,3.44,22.33,4677391
Los Angeles,2107,1,2,Apartment,2011,Recently Renovated,10,3.64,49.38,4089102
San Jose,4448,3,5,Townhouse,1978,Recently Renovated,10,4.76,62.32,509360
San Diego,1158,3,4,Villa,1975,New,10,5.77,24.59,4755542
Los Angeles,3597,4,2,Apartment,2006,New,4,3.04,34.94,2285873
Los Angeles,1838,5,4,Condo,1959,Good,6,4.29,76.76,430474
San Diego,715,6,4,Townhouse,1954,Good,1,6.47,61.98,276007
San Jose,561,1,1,Villa,1955,Needs Renovation,1,3.75,80.86,4617543
Fresno,3687,2,1,Villa,1973,Recently Renovated,6,4.61,61.63,4678282
Sacramento,1454,5,4,Condo,1991,Recently Renovated,1,6.92,21.27,424566
San Diego,4423,5,3,Condo,1952,Recently Renovated,9,3.8,15.15,4371615
San Diego,3705,5,1,Townhouse,1981,New,1,2.89,86.66,1403621
Los Angeles,3566,4,2,Townhouse,2013,Recently Renovated,6,3.71,85.49,4190500
Sacramento,3610,4,5,Apartment,1992,Needs Renovation,5,7.14,89.06,1600285
Oakland,2148,4,4,Condo,1987,Needs Renovation,9,5.9,59.72,1905266
San Jose,663,6,4,Apartment,2001,Needs Renovation,2,1.8,99.33,1978155
Long Beach,1576,5,2,Townhouse,2000,Good,7,1.14,86.52,4275291
Oakland,1282,2,5,Apartment,1999,New,10,8.25,67.49,4573149
Fresno,4177,2,4,Apartment,1950,Needs Renovation,7,7.74,29.87,1787790
Oakland,1232,4,3,Townhouse,1978,Needs Renovation,8,2.61,36.41,3747963
Anaheim,4180,3,4,Independent House,1966,Recently Renovated,5,3.83,49.28,3289877
Long Beach,4592,6,1,Apartment,2022,Needs Renovation,5,6.75,77.02,4100518
Bakersfield,4503,6,1,Townhouse,1982,Recently Renovated,3,6.73,51.29,2756595
Oakland,4095,2,4,Townhouse,1970,Recently Renovated,9,8.24,95.9,2094780
Bakersfield,4623,1,4,Villa,1986,Recently Renovated,1,9.0,88.26,1868817
Los Angeles,3345,1,3,Condo,2018,Needs Renovation,8,7.21,16.47,4704393
San Diego,2500,6,2,Independent House,1988,Recently Renovated,5,2.11,91.59,2517354
Sacramento,535,1,4,Independent House,1991,Good,4,8.34,99.02,2517729
Anaheim,2631,1,1,Apartment,2021,Needs Renovation,3,7.9,53.58,4103022
Long Beach,523,6,1,Townhouse,1970,Good,5,8.04,46.28,4018637
Los Angeles,2707,3,3,Villa,1992,New,1,5.34,70.59,171764
Anaheim,3946,4,5,Independent House,2005,Good,8,1.55,56.15,1016850
Oakland,1494,2,2,Villa,2009,Good,5,1.25,89.78,479119
San Jose,3263,2,3,Townhouse,1990,Recently Renovated,2,8.0,28.78,2893598
Sacramento,1515,2,4,Townhouse,2009,New,7,1.93,41.5,4307649
San Jose,4090,2,5,Villa,2020,Needs Renovation,1,7.24,10.6,3846624
San Jose,1244,4,4,Apartment,1953,Needs Renovation,9,2.3,40.61,269498
San Diego,3859,2,5,Villa,1999,Good,4,5.59,49.73,633983
Los Angeles,2916,5,3,Apartment,2005,Needs Renovation,10,5.65,53.77,4106719
Bakersfield,1498,6,5,Townhouse,2018,Recently Renovated,7,3.7,34.65,1036009
Oakland,1931,3,1,Apartment,1962,Good,9,1.5,93.82,3654219
Anaheim,1526,1,1,Apartment,2023,Good,8,2.79,69.12,1458765
Fresno,3767,3,3,Apartment,1953,Good,10,1.35,93.33,3958175
Oakland,2331,4,1,Condo,2013,Needs Renovation,8,5.3,84.26,2462805
San Jose,1127,4,5,Townhouse,2013,Recently Renovated,2,6.01,62.51,4829611
Oakland,853,3,4,Condo,2014,Recently Renovated,1,9.84,37.12,3994133
Long Beach,807,5,1,Apartment,1957,Needs Renovation,5,4.0,92.6,1839911
Oakland,3792,6,2,Apartment,1973,New,1,6.2,76.02,2531837
San Jose,4586,5,1,Apartment,2020,New,4,3.94,54.37,513774
Oakland,4037,2,5,Independent House,2006,Recently Renovated,8,4.62,65.45,2845068
Sacramento,1222,1,2,Villa,2003,Good,10,5.13,77.92,1941899
Los Angeles,1854,4,1,Condo,2005,Recently Renovated,9,1.76,92.87,3160611
Sacramento,697,6,4,Condo,2017,Recently Renovated,2,6.52,7.24,1267520
Anaheim,4405,6,3,Independent House,2012,Good,8,7.5,70.06,4893540
San Francisco,3681,2,4,Condo,1955,New,7,4.59,35.26,2978385
San Francisco,562,5,5,Condo,2015,Good,7,7.69,77.29,1796580
San Jose,2929,6,4,Independent House,1994,New,3,4.71,69.17,1470879
Fresno,1895,5,5,Condo,1986,Needs Renovation,2,3.02,60.44,2763838
San Jose,818,5,4,Villa,2010,Recently Renovated,10,5.77,67.36,2864914
San Francisco,768,5,2,Townhouse,2009,Good,8,6.47,22.07,3719733
Fresno,767,4,2,Villa,1978,Recently Renovated,10,1.08,40.94,1551199
Long Beach,4053,6,1,Villa,1990,Good,9,7.55,2.99,4352769
San Diego,1587,2,1,Apartment,1950,Good,6,3.11,5.61,316879
San Jose,1421,5,3,Villa,1964,Good,3,4.05,30.75,4574920
Oakland,1801,2,2,Apartment,2005,Needs Renovation,9,5.16,48.01,849531
San Jose,1507,6,3,Apartment,1998,Needs Renovation,2,8.3,6.22,609073
Los Angeles,3463,4,3,Condo,2003,Needs Renovation,10,4.61,52.5,637663
Anaheim,4756,3,4,Condo,2019,Good,7,7.01,83.07,1851343
San Francisco,2477,4,2,Villa,1963,Good,7,4.19,14.06,930051
Anaheim,3691,1,5,Townhouse,1983,Recently Renovated,6,5.54,74.16,777578
Bakersfield,4848,6,4,Villa,1997,Recently Renovated,1,9.53,50.73,654947
Bakersfield,3563,4,2,Independent House,1991,Good,1,1.75,58.98,4360954
San Jose,2793,3,5,Independent House,1994,Needs Renovation,7,2.57,41.26,1456883
San Diego,3402,4,4,Independent House,1966,Needs Renovation,6,5.34,2.3,2497966
Anaheim,4458,5,3,Condo,1985,Recently Renovated,10,6.34,46.82,2737454
San Diego,2924,4,4,Condo,2009,Recently Renovated,6,6.87,26.08,1392551
Long Beach,4527,5,1,Apartment,1980,Needs Renovation,3,6.85,18.68,131818
San Jose,3455,3,5,Townhouse,1996,Good,8,3.54,22.07,3204367
Anaheim,2867,3,2,Apartment,1972,Needs Renovation,8,9.06,61.65,3641393
Anaheim,3136,2,4,Apartment,2004,Recently Renovated,9,1.21,6.45,1596337
Fresno,3252,4,2,Townhouse,1956,New,9,6.47,44.04,4435746
San Diego,1753,2,5,Condo,1986,Good,4,2.26,97.2,2075268
San Jose,2054,4,1,Independent House,2018,Recently Renovated,6,1.97,76.84,1386263
Sacramento,4086,3,1,Townhouse,1994,Needs Renovation,4,1.36,33.39,2109200
San Diego,3871,5,4,Independent House,2002,New,3,3.58,86.88,338208
Oakland,721,6,5,Apartment,1969,Good,10,2.59,42.02,4093794
Los Angeles,2031,4,1,Townhouse,2000,New,5,8.31,60.53,2817235
